MK280073-043,,RNA Gene,,3,GC10M056997,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-043,,,,,,,,,,,,,,,,,,
MK280073-045,,RNA Gene,,3,GC10P063123,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-045,,,,,,,,,,,,,,,,,,
MK280073-048,,RNA Gene,,3,GC10M075564,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-048,,,,,,,,,,,,,,,,,,
MK280073-050,,RNA Gene,,3,GC10M082888,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-050,,,,,,,,,,,,,,,,,,
MK280073-054,,RNA Gene,,3,GC10P099795,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-054,,,,,,,,,,,,,,,,,,
MK280073-061,,RNA Gene,,3,GC10M120334,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-061,,,,,,,,,,,,,,,,,,
MK280073-062,,RNA Gene,,3,GC10P125651,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-062,,,,,,,,,,,,,,,,,,
MK280073-064,,RNA Gene,,3,GC11M008575,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-064,,,,,,,,,,,,,,,,,,
MK280073-065,,RNA Gene,,3,GC11P006984,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-065,,,,,,,,,,,,,,,,,,
MK280073-066,,RNA Gene,,3,GC11M009550,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-066,,,,,,,,,,,,,,,,,,
MK280073-068,,RNA Gene,,3,GC11M014172,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-068,,,,,,,,,,,,,,,,,,
MK280073-069,,RNA Gene,,3,GC11P018828,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-069,,,,,,,,,,,,,,,,,,
MK280073-070,,RNA Gene,,3,GC11M025647,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-070,,,,,,,,,,,,,,,,,,
MK280073-074,,RNA Gene,,3,GC11M034762,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-074,,,,,,,,,,,,,,,,,,
MK280073-076,,RNA Gene,,3,GC11M110771,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-076,,,,,,,,,,,,,,,,,,
MK280073-077,,RNA Gene,,3,GC11M110772,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-077,,,,,,,,,,,,,,,,,,
MK280073-078,,RNA Gene,,3,GC11P079341,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-078,,,,,,,,,,,,,,,,,,
MK280073-080,,RNA Gene,,3,GC11P079735,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-080,,,,,,,,,,,,,,,,,,
MK280073-084,,RNA Gene,,3,GC11M110774,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-084,,,,,,,,,,,,,,,,,,
MK280073-085,,RNA Gene,,3,GC11M110775,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-085,,,,,,,,,,,,,,,,,,
MK280073-086,,RNA Gene,,3,GC11M110776,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-086,,,,,,,,,,,,,,,,,,
MK280073-087,,RNA Gene,,3,GC11M110777,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-087,,,,,,,,,,,,,,,,,,
MK280073-088,,RNA Gene,,3,GC11P101642,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-088,,,,,,,,,,,,,,,,,,
MK280073-094,,RNA Gene,,3,GC12P029866,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-094,,,,,,,,,,,,,,,,,,
MK280073-095,,RNA Gene,,3,GC12P029867,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-095,,,,,,,,,,,,,,,,,,
MK280073-096,,RNA Gene,,3,GC12P029868,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-096,,,,,,,,,,,,,,,,,,
MK280073-097,,RNA Gene,,3,GC12P029869,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-097,,,,,,,,,,,,,,,,,,
MK280073-098,,RNA Gene,,3,GC12M025337,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-098,,,,,,,,,,,,,,,,,,
MK280073-101,,RNA Gene,,3,GC12P029871,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-101,,,,,,,,,,,,,,,,,,
MK280073-102,,RNA Gene,,3,GC12P029990,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-102,,,,,,,,,,,,,,,,,,
MK280073-104,,RNA Gene,,3,GC12M030524,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-104,,,,,,,,,,,,,,,,,,
MK280073-105,,RNA Gene,,3,GC12P033231,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-105,,,,,,,,,,,,,,,,,,
MK280073-107,,RNA Gene,,3,GC12M046425,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-107,,,,,,,,,,,,,,,,,,
MK280073-108,,RNA Gene,,3,GC12M047455,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-108,,,,,,,,,,,,,,,,,,
MK280073-109,,RNA Gene,,3,GC12M048324,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-109,,,,,,,,,,,,,,,,,,
MK280073-110,,RNA Gene,,3,GC12M055315,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-110,,,,,,,,,,,,,,,,,,
MK280073-111,,RNA Gene,,3,GC12M055314,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-111,,,,,,,,,,,,,,,,,,
MK280073-112,,RNA Gene,,3,GC12P058213,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-112,,,,,,,,,,,,,,,,,,
MK280073-113,,RNA Gene,,3,GC12M058760,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-113,,,,,,,,,,,,,,,,,,
MK280073-114,,RNA Gene,,3,GC12M060796,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-114,,,,,,,,,,,,,,,,,,
MK280073-118,,RNA Gene,,3,GC12P086845,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-118,,,,,,,,,,,,,,,,,,
MK280073-122,,RNA Gene,,3,GC12M096727,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-122,,,,,,,,,,,,,,,,,,
MK280073-124,,RNA Gene,,3,GC13P018186,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-124,,,,,,,,,,,,,,,,,,
MK280073-126,,RNA Gene,,3,GC13M038562,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-126,,,,,,,,,,,,,,,,,,
MK280073-127,,RNA Gene,,3,GC13M038564,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-127,,,,,,,,,,,,,,,,,,
MK280073-128,,RNA Gene,,3,GC13P034388,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-128,,,,,,,,,,,,,,,,,,
MK280073-131,,RNA Gene,,3,GC13P038291,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-131,,,,,,,,,,,,,,,,,,
MK280073-132,,RNA Gene,,3,GC13M045871,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-132,,,,,,,,,,,,,,,,,,
MK280073-133,,RNA Gene,,3,GC13P047717,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-133,,,,,,,,,,,,,,,,,,
MK280073-134,,RNA Gene,,3,GC13M050559,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-134,,,,,,,,,,,,,,,,,,
MK280073-135,,RNA Gene,,3,GC13M051697,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-135,,,,,,,,,,,,,,,,,,
MK280073-136,,RNA Gene,,3,GC13P052258,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-136,,,,,,,,,,,,,,,,,,
MK280073-137,,RNA Gene,,3,GC13M052562,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-137,,,,,,,,,,,,,,,,,,
MK280073-138,,RNA Gene,,3,GC13M053599,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-138,,,,,,,,,,,,,,,,,,
MK280073-139,,RNA Gene,,3,GC13P054871,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-139,,,,,,,,,,,,,,,,,,
MK280073-141,,RNA Gene,,3,GC13M071388,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-141,,,,,,,,,,,,,,,,,,
MK280073-142,,RNA Gene,,3,GC13P072614,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-142,,,,,,,,,,,,,,,,,,
MK280073-143,,RNA Gene,,3,GC13P078529,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-143,,,,,,,,,,,,,,,,,,
MK280073-144,,RNA Gene,,3,GC13M079822,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-144,,,,,,,,,,,,,,,,,,
MK280073-145,,RNA Gene,,3,GC13P079843,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-145,,,,,,,,,,,,,,,,,,
MK280073-146,,RNA Gene,,3,GC13M081068,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-146,,,,,,,,,,,,,,,,,,
MK280073-147,,RNA Gene,,3,GC13M091972,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-147,,,,,,,,,,,,,,,,,,
MK280073-148,,RNA Gene,,3,GC13P092284,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-148,,,,,,,,,,,,,,,,,,
MK280073-151,,RNA Gene,,3,GC13P106217,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-151,,,,,,,,,,,,,,,,,,
MK280073-152,,RNA Gene,,3,GC13M106782,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-152,,,,,,,,,,,,,,,,,,
MK280073-155,,RNA Gene,,3,GC14P039492,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-155,,,,,,,,,,,,,,,,,,
MK280073-156,,RNA Gene,,3,GC14P039493,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-156,,,,,,,,,,,,,,,,,,
MK280073-157,,RNA Gene,,3,GC14M025458,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-157,,,,,,,,,,,,,,,,,,
MK280073-158,,RNA Gene,,3,GC14M025459,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-158,,,,,,,,,,,,,,,,,,
MK280073-159,,RNA Gene,,3,GC14P039494,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-159,,,,,,,,,,,,,,,,,,
MK280073-160,,RNA Gene,,3,GC14M025410,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-160,,,,,,,,,,,,,,,,,,
MK280073-161,,RNA Gene,,3,GC14P039495,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-161,,,,,,,,,,,,,,,,,,
MK280073-162,,RNA Gene,,3,GC14M028639,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-162,,,,,,,,,,,,,,,,,,
MK280073-163,,RNA Gene,,3,GC14M029006,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-163,,,,,,,,,,,,,,,,,,
MK280073-165,,RNA Gene,,3,GC14P039500,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-165,,,,,,,,,,,,,,,,,,
MK280073-169,,RNA Gene,,3,GC14P039649,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-169,,,,,,,,,,,,,,,,,,
MK280073-170,,RNA Gene,,3,GC14P039760,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-170,,,,,,,,,,,,,,,,,,
MK280073-171,,RNA Gene,,3,GC14M039357,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-171,,,,,,,,,,,,,,,,,,
MK280073-172,,RNA Gene,,3,GC14M046099,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-172,,,,,,,,,,,,,,,,,,
MK280073-173,,RNA Gene,,3,GC14M046181,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-173,,,,,,,,,,,,,,,,,,
MK280073-177,,RNA Gene,,3,GC14P056672,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-177,,,,,,,,,,,,,,,,,,
MK280073-178,,RNA Gene,,3,GC14P058044,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-178,,,,,,,,,,,,,,,,,,
MK280073-181,,RNA Gene,,3,GC14M071893,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-181,,,,,,,,,,,,,,,,,,
MK280073-184,,RNA Gene,,3,GC14M115934,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-184,,,,,,,,,,,,,,,,,,
MK280073-186,,RNA Gene,,3,GC15M020036,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-186,,,,,,,,,,,,,,,,,,
MK280073-187,,RNA Gene,,3,GC15P052923,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-187,,,,,,,,,,,,,,,,,,
MK280073-188,,RNA Gene,,3,GC15P055670,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-188,,,,,,,,,,,,,,,,,,
MK280073-189,,RNA Gene,,3,GC15P055676,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-189,,,,,,,,,,,,,,,,,,
MK280073-191,,RNA Gene,,3,GC15P055678,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-191,,,,,,,,,,,,,,,,,,
MK280073-192,,RNA Gene,,3,GC15M050988,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-192,,,,,,,,,,,,,,,,,,
MK280073-193,,RNA Gene,,3,GC15P054146,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-193,,,,,,,,,,,,,,,,,,
MK280073-195,,RNA Gene,,3,GC15M134782,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-195,,,,,,,,,,,,,,,,,,
MK280073-196,,RNA Gene,,3,GC15M134783,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-196,,,,,,,,,,,,,,,,,,
MK280073-198,,RNA Gene,,3,GC15M134784,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-198,,,,,,,,,,,,,,,,,,
MK280073-200,,RNA Gene,,3,GC15M134786,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-200,,,,,,,,,,,,,,,,,,
MK280073-201,,RNA Gene,,3,GC15P135551,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-201,,,,,,,,,,,,,,,,,,
MK280073-204,,RNA Gene,,3,GC15M134787,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-204,,,,,,,,,,,,,,,,,,
MK280073-209,,RNA Gene,,3,GC15P135555,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-209,,,,,,,,,,,,,,,,,,
MK280073-210,,RNA Gene,,3,GC15M134790,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-210,,,,,,,,,,,,,,,,,,
MK280073-211,,RNA Gene,,3,GC15M134791,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-211,,,,,,,,,,,,,,,,,,
MK280073-212,,RNA Gene,,3,GC15P135556,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-212,,,,,,,,,,,,,,,,,,
MK280073-213,,RNA Gene,,3,GC15M134792,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-213,,,,,,,,,,,,,,,,,,
MK280073-214,,RNA Gene,,3,GC15M134793,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-214,,,,,,,,,,,,,,,,,,
MK280073-215,,RNA Gene,,3,GC15P135557,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-215,,,,,,,,,,,,,,,,,,
MK280073-217,,RNA Gene,,3,GC16M013075,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-217,,,,,,,,,,,,,,,,,,
MK280073-218,,RNA Gene,,3,GC16M012931,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-218,,,,,,,,,,,,,,,,,,
MK280073-219,,RNA Gene,,3,GC16M013234,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-219,,,,,,,,,,,,,,,,,,
MK280073-220,,RNA Gene,,3,GC16M016758,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-220,,,,,,,,,,,,,,,,,,
MK280073-222,,RNA Gene,,3,GC16M021055,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-222,,,,,,,,,,,,,,,,,,
MK280073-224,,RNA Gene,,3,GC16P051533,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-224,,,,,,,,,,,,,,,,,,
MK280073-225,,RNA Gene,,3,GC16M041375,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-225,,,,,,,,,,,,,,,,,,
MK280073-226,,RNA Gene,,3,GC16P051534,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-226,,,,,,,,,,,,,,,,,,
MK280073-227,,RNA Gene,,3,GC16P051535,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-227,,,,,,,,,,,,,,,,,,
MK280073-228,,RNA Gene,,3,GC16P051537,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-228,,,,,,,,,,,,,,,,,,
MK280073-229,,RNA Gene,,3,GC16P051538,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-229,,,,,,,,,,,,,,,,,,
MK280073-230,,RNA Gene,,3,GC16M047812,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-230,,,,,,,,,,,,,,,,,,
MK280073-231,,RNA Gene,,3,GC16M048029,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-231,,,,,,,,,,,,,,,,,,
MK280073-232,,RNA Gene,,3,GC16M048781,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-232,,,,,,,,,,,,,,,,,,
MK280073-234,,RNA Gene,,3,GC16M052159,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-234,,,,,,,,,,,,,,,,,,
MK280073-235,,RNA Gene,,3,GC16P052339,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-235,,,,,,,,,,,,,,,,,,
MK280073-236,,RNA Gene,,3,GC16P053473,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-236,,,,,,,,,,,,,,,,,,
MK280073-237,,RNA Gene,,3,GC16P056158,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-237,,,,,,,,,,,,,,,,,,
MK280073-238,,RNA Gene,,3,GC16M058784,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-238,,,,,,,,,,,,,,,,,,
MK280073-239,,RNA Gene,,3,GC16P059233,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-239,,,,,,,,,,,,,,,,,,
MK280073-240,,RNA Gene,,3,GC16M059569,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-240,,,,,,,,,,,,,,,,,,
MK280073-241,,RNA Gene,,3,GC16M060830,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-241,,,,,,,,,,,,,,,,,,
MK280073-242,,RNA Gene,,3,GC16P063152,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-242,,,,,,,,,,,,,,,,,,
MK280073-244,,RNA Gene,,3,GC16M071961,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-244,,,,,,,,,,,,,,,,,,
MK280073-245,,RNA Gene,,3,GC16P073510,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-245,,,,,,,,,,,,,,,,,,
MK280073-246,,RNA Gene,,3,GC16P073315,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-246,,,,,,,,,,,,,,,,,,
MK280073-248,,RNA Gene,,3,GC17M013828,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-248,,,,,,,,,,,,,,,,,,
MK280073-249,,RNA Gene,,3,GC17M013829,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-249,,,,,,,,,,,,,,,,,,
MK280073-250,,RNA Gene,,3,GC17P012923,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-250,,,,,,,,,,,,,,,,,,
MK280073-251,,RNA Gene,,3,GC17M013830,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-251,,,,,,,,,,,,,,,,,,
MK280073-252,,RNA Gene,,3,GC17P006534,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-252,,,,,,,,,,,,,,,,,,
MK280073-253,,RNA Gene,,3,GC17M013465,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-253,,,,,,,,,,,,,,,,,,
MK280073-255,,RNA Gene,,3,GC17M013644,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-255,,,,,,,,,,,,,,,,,,
MK280073-257,,RNA Gene,,3,GC17M062104,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-257,,,,,,,,,,,,,,,,,,
MK280073-259,,RNA Gene,,3,GC17M062105,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-259,,,,,,,,,,,,,,,,,,
MK280073-260,,RNA Gene,,3,GC17M062106,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-260,,,,,,,,,,,,,,,,,,
MK280073-261,,RNA Gene,,3,GC17P084497,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-261,,,,,,,,,,,,,,,,,,
MK280073-262,,RNA Gene,,3,GC17P084498,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-262,,,,,,,,,,,,,,,,,,
MK280073-264,,RNA Gene,,3,GC17P084499,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-264,,,,,,,,,,,,,,,,,,
MK280073-265,,RNA Gene,,3,GC17M062109,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-265,,,,,,,,,,,,,,,,,,
MK280073-266,,RNA Gene,,3,GC17M062110,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-266,,,,,,,,,,,,,,,,,,
MK280073-267,,RNA Gene,,3,GC17M062111,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-267,,,,,,,,,,,,,,,,,,
MK280073-268,,RNA Gene,,3,GC17P084500,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-268,,,,,,,,,,,,,,,,,,
MK280073-269,,RNA Gene,,3,GC17P084501,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-269,,,,,,,,,,,,,,,,,,
MK280073-270,,RNA Gene,,3,GC17P084502,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-270,,,,,,,,,,,,,,,,,,
MK280073-271,,RNA Gene,,3,GC17P084503,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-271,,,,,,,,,,,,,,,,,,
MK280073-272,,RNA Gene,,3,GC17M069022,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-272,,,,,,,,,,,,,,,,,,
MK280073-274,,RNA Gene,,3,GC17M071366,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-274,,,,,,,,,,,,,,,,,,
MK280073-275,,RNA Gene,,3,GC17P079239,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-275,,,,,,,,,,,,,,,,,,
MK280073-276,,RNA Gene,,3,GC18M000980,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-276,,,,,,,,,,,,,,,,,,
MK280073-277,,RNA Gene,,3,GC18P001339,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-277,,,,,,,,,,,,,,,,,,
MK280073-278,,RNA Gene,,3,GC18M001534,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-278,,,,,,,,,,,,,,,,,,
MK280073-279,,RNA Gene,,3,GC18P002344,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-279,,,,,,,,,,,,,,,,,,
MK280073-281,,RNA Gene,,3,GC18M005860,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-281,,,,,,,,,,,,,,,,,,
MK280073-282,,RNA Gene,,3,GC18P019665,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-282,,,,,,,,,,,,,,,,,,
MK280073-284,,RNA Gene,,3,GC18P022889,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-284,,,,,,,,,,,,,,,,,,
MK280073-285,,RNA Gene,,3,GC18P032398,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-285,,,,,,,,,,,,,,,,,,
MK280073-286,,RNA Gene,,3,GC18P034898,1.17731165885925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MK280073-286,,,,,,,,,,,,,,,,,,
