Gene Map Search - 'familial hypercholesterolemia '
Downloaded:	Jun 06, 2023
Copyright (c) 1966-2023 Johns Hopkins University OMIM, data are provided for research purposes only.

Cytogenetic location	Genomic coordinates (From NCBI/GRCh38)	Gene/Locus	Gene/Locus name	Gene/Locus MIM number	Approved Symbol	Entrez Gene ID	Ensembl Gene ID	Comments	Phenotype	Phenotype MIM number	Inheritance	Pheno map key	Mouse Gene (from MGI)
2q36.3	2:227164624-227314792	COL4A3, ATS2, ATS3, BFH2	Collagen IV, alpha-3 polypeptide (Goodpasture antigen)	120070	COL4A3	1285	ENSG00000169031,ENST00000396578;;;ENST00000396578	noncollagenous domain = Goodpasture antigen	Alport syndrome 3, autosomal dominant	104200	Autosomal dominant	3	Col4a3
2q36.3	2:227164624-227314792	COL4A3, ATS2, ATS3, BFH2	Collagen IV, alpha-3 polypeptide (Goodpasture antigen)	120070	COL4A3	1285	ENSG00000169031,ENST00000396578;;;ENST00000396578	noncollagenous domain = Goodpasture antigen	Hematuria, benign familial, 2	620320		3	Col4a3
2q37.1	2:233760270-233773300	UGT1A1, UGT1, GNT1, BILIQTL1	UDP glycosyltransferase 1 family, polypeptide A1	191740	UGT1A1	54658	ENSG00000241635,ENST00000305208;;;ENST00000305208		Crigler-Najjar syndrome, type I	218800	Autosomal recessive	3	Ugt1a1
2q37.1	2:233760270-233773300	UGT1A1, UGT1, GNT1, BILIQTL1	UDP glycosyltransferase 1 family, polypeptide A1	191740	UGT1A1	54658	ENSG00000241635,ENST00000305208;;;ENST00000305208		Crigler-Najjar syndrome, type II	606785	Autosomal recessive	3	Ugt1a1
2q37.1	2:233760270-233773300	UGT1A1, UGT1, GNT1, BILIQTL1	UDP glycosyltransferase 1 family, polypeptide A1	191740	UGT1A1	54658	ENSG00000241635,ENST00000305208;;;ENST00000305208		Hyperbilirubinemia, familial transient neonatal	237900	Autosomal dominant; Autosomal recessive	3	Ugt1a1
2q37.1	2:233760270-233773300	UGT1A1, UGT1, GNT1, BILIQTL1	UDP glycosyltransferase 1 family, polypeptide A1	191740	UGT1A1	54658	ENSG00000241635,ENST00000305208;;;ENST00000305208		[Bilirubin, serum level of, QTL1]	601816		3	Ugt1a1
2q37.1	2:233760270-233773300	UGT1A1, UGT1, GNT1, BILIQTL1	UDP glycosyltransferase 1 family, polypeptide A1	191740	UGT1A1	54658	ENSG00000241635,ENST00000305208;;;ENST00000305208		[Gilbert syndrome]	143500	Autosomal recessive	3	Ugt1a1
2q37.3	2:238244044-238300065	PER2, FASPS1, KIAA0347	Period circadian regulator 2	603426	PER2	8864	ENSG00000132326,ENST00000254657;;;ENST00000254657	mutation identified in 1 FASPS1 family	?Advanced sleep phase syndrome, familial, 1	604348	Autosomal dominant	3	Per2
3p25.3	3:8733802-8746758	CAV3, LQT9, MPDT, RMD2	Caveolin-3	601253	CAV3	859	ENSG00000182533,ENST00000343849;;;ENST00000343849	within 7-10kb of OXTR	Cardiomyopathy, familial hypertrophic	192600	Autosomal dominant; Digenic dominant	3	Cav3
3p25.3	3:8733802-8746758	CAV3, LQT9, MPDT, RMD2	Caveolin-3	601253	CAV3	859	ENSG00000182533,ENST00000343849;;;ENST00000343849	within 7-10kb of OXTR	Creatine phosphokinase, elevated serum	123320	Autosomal dominant	3	Cav3
3p25.3	3:8733802-8746758	CAV3, LQT9, MPDT, RMD2	Caveolin-3	601253	CAV3	859	ENSG00000182533,ENST00000343849;;;ENST00000343849	within 7-10kb of OXTR	Long QT syndrome 9	611818	Autosomal dominant	3	Cav3
3p25.3	3:8733802-8746758	CAV3, LQT9, MPDT, RMD2	Caveolin-3	601253	CAV3	859	ENSG00000182533,ENST00000343849;;;ENST00000343849	within 7-10kb of OXTR	Myopathy, distal, Tateyama type	614321	Autosomal dominant	3	Cav3
3p25.3	3:8733802-8746758	CAV3, LQT9, MPDT, RMD2	Caveolin-3	601253	CAV3	859	ENSG00000182533,ENST00000343849;;;ENST00000343849	within 7-10kb of OXTR	Rippling muscle disease 2	606072	Autosomal dominant	3	Cav3
3p25.3	3:9866710-9880253	CIDEC, FSP27, CIDE3, FPLD5	Cell death-inducing DFFA-like effector C	612120	CIDEC	63924	ENSG00000187288,ENST00000336832;;;ENST00000336832	1 patient identified with mutation	?Lipodystrophy, familial partial, type 5	615238	Autosomal recessive	3	Cidec
3p25.3	3:9917098-9933621	IL17RC, IL17RL, CANDF9	Interleukin 17 receptor C	610925	IL17RC	84818	ENSG00000163702,ENST00000403601;;;ENST00000403601		Candidiasis, familial, 9	616445	Autosomal recessive	3	Il17rc
3p25.3	3:10141778-10153667	VHL	von Hippel-Lindau tumor suppressor	608537	VHL	7428	ENSG00000134086,ENST00000256474;;;ENST00000256474		Erythrocytosis, familial, 2	263400	Autosomal recessive	3	Vhl
3p25.3	3:10141778-10153667	VHL	von Hippel-Lindau tumor suppressor	608537	VHL	7428	ENSG00000134086,ENST00000256474;;;ENST00000256474		Hemangioblastoma, cerebellar, somatic			3	Vhl
3p25.3	3:10141778-10153667	VHL	von Hippel-Lindau tumor suppressor	608537	VHL	7428	ENSG00000134086,ENST00000256474;;;ENST00000256474		Pheochromocytoma	171300	Autosomal dominant	3	Vhl
3p25.3	3:10141778-10153667	VHL	von Hippel-Lindau tumor suppressor	608537	VHL	7428	ENSG00000134086,ENST00000256474;;;ENST00000256474		Renal cell carcinoma, somatic	144700		3	Vhl
3p25.3	3:10141778-10153667	VHL	von Hippel-Lindau tumor suppressor	608537	VHL	7428	ENSG00000134086,ENST00000256474;;;ENST00000256474		von Hippel-Lindau syndrome	193300	Autosomal dominant	3	Vhl
3p25.2	3:12287368-12434344	PPARG, PPARG1, PPARG2, CIMT1, GLM1	Peroxisome proliferator activated receptor, gamma	601487	PPARG	5468	ENSG00000132170,ENST00000651735;;;ENST00000651735	PPARG1, PPARG2 from same gene	Carotid intimal medial thickness 1	609338		3	Pparg
3p25.2	3:12287368-12434344	PPARG, PPARG1, PPARG2, CIMT1, GLM1	Peroxisome proliferator activated receptor, gamma	601487	PPARG	5468	ENSG00000132170,ENST00000651735;;;ENST00000651735	PPARG1, PPARG2 from same gene	Insulin resistance, severe, digenic	604367	Autosomal dominant	3	Pparg
3p25.2	3:12287368-12434344	PPARG, PPARG1, PPARG2, CIMT1, GLM1	Peroxisome proliferator activated receptor, gamma	601487	PPARG	5468	ENSG00000132170,ENST00000651735;;;ENST00000651735	PPARG1, PPARG2 from same gene	Lipodystrophy, familial partial, type 3	604367	Autosomal dominant	3	Pparg
3p25.2	3:12287368-12434344	PPARG, PPARG1, PPARG2, CIMT1, GLM1	Peroxisome proliferator activated receptor, gamma	601487	PPARG	5468	ENSG00000132170,ENST00000651735;;;ENST00000651735	PPARG1, PPARG2 from same gene	Obesity, severe	601665	Autosomal dominant; Autosomal recessive; Multifactorial	3	Pparg
3p25.2	3:12287368-12434344	PPARG, PPARG1, PPARG2, CIMT1, GLM1	Peroxisome proliferator activated receptor, gamma	601487	PPARG	5468	ENSG00000132170,ENST00000651735;;;ENST00000651735	PPARG1, PPARG2 from same gene	[Obesity, resistance to]			3	Pparg
3p25.2	3:12287368-12434344	PPARG, PPARG1, PPARG2, CIMT1, GLM1	Peroxisome proliferator activated receptor, gamma	601487	PPARG	5468	ENSG00000132170,ENST00000651735;;;ENST00000651735	PPARG1, PPARG2 from same gene	{Diabetes, type 2}	125853	Autosomal dominant	3	Pparg
3p24.2-p23	3:23800001-32000000	FEB9	Febrile seizures, familial, 9	611634		100188849		between D3S3727 and D3S3567	Febrile seizures, familial, 9	611634	Autosomal dominant	2	
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Atrial fibrillation, familial, 10	614022	Autosomal dominant	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Brugada syndrome 1	601144	Autosomal dominant	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Cardiomyopathy, dilated, 1E	601154	Autosomal dominant	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Heart block, nonprogressive	113900	Autosomal dominant	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Heart block, progressive, type IA	113900	Autosomal dominant	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Long QT syndrome 3	603830	Autosomal dominant	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Sick sinus syndrome 1	608567	Autosomal recessive	3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		Ventricular fibrillation, familial, 1	603829		3	Scn5a
3p22.2	3:38548062-38649687	SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2	Sodium channel, voltage-gated, type V, alpha polypeptide	600163	SCN5A	6331	ENSG00000183873,ENST00000423572;;;ENST00000423572		{Sudden infant death syndrome, susceptibility to}	272120	Autosomal recessive	3	Scn5a
3p22.2	3:38696807-38816217	SCN10A, FEPS2	Sodium voltage-gated channel, alpha subunit 10	604427	SCN10A	6336	ENSG00000185313,ENST00000449082;;;ENST00000449082		Episodic pain syndrome, familial, 2	615551	Autosomal dominant	3	Scn10a
3p22.2	3:38845764-39051944	SCN11A, HSAN7, FEPS3	Sodium voltage-gated channel, alpha subunit 11	604385	SCN11A	11280	ENSG00000168356,ENST00000302328;;;ENST00000302328		Episodic pain syndrome, familial, 3	615552	Autosomal dominant	3	Scn11a
3p22.2	3:38845764-39051944	SCN11A, HSAN7, FEPS3	Sodium voltage-gated channel, alpha subunit 11	604385	SCN11A	11280	ENSG00000168356,ENST00000302328;;;ENST00000302328		Neuropathy, hereditary sensory and autonomic, type VII	615548	Autosomal dominant	3	Scn11a
3p21.31	3:50347330-50350775	NPRL2, FFEVF2	NPR2-like protein, GATOR1 complex subunit	607072	NPRL2	10641	ENSG00000114388,ENST00000232501;;;ENST00000232501		Epilepsy, familial focal, with variable foci 2	617116	Autosomal dominant	3	Nprl2
3q13.2-q13.33	3:111600001-122200000	STUT3	Stuttering, familial persistent, 3	614655		100909386		max lod at D3S1310	Stuttering, familial persistent, 3	614655		2	
3q21.1	3:123610049-123884332	MYLK, MLCK, AAT7, MMIHS1	Myosin-light-polypeptide kinase	600922	MYLK	4638	ENSG00000065534,ENST00000360304;;;ENST00000360304	pseudogene on 3p13	Aortic aneurysm, familial thoracic 7	613780	Autosomal dominant	3	Mylk
3q21.1	3:123610049-123884332	MYLK, MLCK, AAT7, MMIHS1	Myosin-light-polypeptide kinase	600922	MYLK	4638	ENSG00000065534,ENST00000360304;;;ENST00000360304	pseudogene on 3p13	Megacystis-microcolon-intestinal hypoperistalsis syndrome 1	249210	Autosomal recessive	3	Mylk
3q23	3:140941836-140980995	SLC25A36, PNC2, HHF8	Solute carrier family 25 (mitochondrial carrier, pyrimidine nucleotide transporter), member 36	616149	SLC25A36	55186	ENSG00000114120,ENST00000324194;;;ENST00000324194		Hyperinsulinemic hypoglycemia, familial, 8	620211	Autosomal recessive	3	Slc25a36
3q23	3:142449235-142578733	ATR, FRP1, SCKL1, FCTCS	ATR serine/threonine kinase	601215	ATR	545	ENSG00000175054,ENST00000350721;;;ENST00000350721	mutation identified in 1 FCTCS family	?Cutaneous telangiectasia and cancer syndrome, familial	614564	Autosomal dominant	3	Atr
3q23	3:142449235-142578733	ATR, FRP1, SCKL1, FCTCS	ATR serine/threonine kinase	601215	ATR	545	ENSG00000175054,ENST00000350721;;;ENST00000350721	mutation identified in 1 FCTCS family	Seckel syndrome 1	210600	Autosomal recessive	3	Atr
3q25-q26	3:149200001-183000000	ETL6	Epilepsy, familial temporal lobe, 6	615697		103106902		between D3S1584 and D3S3520	Epilepsy, familial temporal lobe, 6	615697	Autosomal dominant	2	
3q26.1	3:167735721-167825569	SERPINI1, PI12	Protease inhibitor 12	602445	SERPINI1	5274	ENSG00000163536,ENST00000446050;;;ENST00000446050		Encephalopathy, familial, with neuroserpin inclusion bodies	604218	Autosomal dominant	3	Serpini1
3q26.2-q26.33	3:167900001-183000000	FEB10	Febrile seizures, familial, 10	612637		100271923		between D3S3656 and D3S1232	Febrile seizures, familial, 10	612637		2	
3q27.1	3:183635623-183684519	KLHL24, KRIP6, EBS6, CMH29	Kelch-like 24	611295	KLHL24	54800	ENSG00000114796,ENST00000242810;;;ENST00000242810		Cardiomyopathy, familial hypertrophic, 29, with polyglucosan bodies	620236	Autosomal recessive	3	Klhl24
3q27.1	3:183635623-183684519	KLHL24, KRIP6, EBS6, CMH29	Kelch-like 24	611295	KLHL24	54800	ENSG00000114796,ENST00000242810;;;ENST00000242810		Epidermolysis bullosa simplex 6, generalized intermediate, with or without cardiomyopathy	617294	Autosomal dominant	3	Klhl24
3q27.1	3:183697797-183812624	YEATS2, KIAA1197, FAME4	YEATS domain-containing protein 2	613373	YEATS2	55689	ENSG00000163872,ENST00000305135;;;ENST00000305135	mutation identifed in 1 FAME4 family	?Epilepsy, myoclonic, familial adult, 4	615127	Autosomal dominant	3	Yeats2
3q27.1	3:184346185-184361605	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2	Chloride channel-2	600570	CLCN2	1181	ENSG00000114859,ENST00000265593;;;ENST00000265593		Hyperaldosteronism, familial, type II	605635	Autosomal dominant	3	Clcn2
3q27.1	3:184346185-184361605	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2	Chloride channel-2	600570	CLCN2	1181	ENSG00000114859,ENST00000265593;;;ENST00000265593		Leukoencephalopathy with ataxia	615651	Autosomal recessive	3	Clcn2
3q27.1	3:184346185-184361605	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2	Chloride channel-2	600570	CLCN2	1181	ENSG00000114859,ENST00000265593;;;ENST00000265593		{Epilepsy, idiopathic generalized, susceptibility to, 11}	607628	Autosomal dominant	3	Clcn2
3q27.1	3:184346185-184361605	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2	Chloride channel-2	600570	CLCN2	1181	ENSG00000114859,ENST00000265593;;;ENST00000265593		{Epilepsy, juvenile absence, susceptibility to, 2}	607628	Autosomal dominant	3	Clcn2
3q27.1	3:184346185-184361605	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2	Chloride channel-2	600570	CLCN2	1181	ENSG00000114859,ENST00000265593;;;ENST00000265593		{Epilepsy, juvenile myoclonic, susceptibility to, 8}	607628	Autosomal dominant	3	Clcn2
3q29	3:196216534-196233427	SLC51A, OSTA, PFIC6	Solute carrier family 51, alpha subunit (organic solute transporter, alpha)	612084	SLC51A	200931	ENSG00000163959,ENST00000296327;;;ENST00000296327	mutation identified in 1 PFIC6 patient	?Cholestasis, progressive familial intrahepatic, 6	619484	Autosomal recessive	3	Slc51a
4q12	4:54229293-54298245	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	173490	PDGFRA	5156	ENSG00000134853,ENST00000257290;;;ENST00000257290	same 700bp segment as KIT; fused to BCR or FIP1L1	Gastrointestinal stromal tumor/GIST-plus syndrome, somatic or familial	175510		3	Pdgfra
4q12	4:54229293-54298245	PDGFRA	Platelet-derived growth factor receptor, alpha polypeptide	173490	PDGFRA	5156	ENSG00000134853,ENST00000257290;;;ENST00000257290	same 700bp segment as KIT; fused to BCR or FIP1L1	Hypereosinophilic syndrome, idiopathic, resistant to imatinib	607685	Isolated cases; Somatic mutation	3	Pdgfra
4q12	4:54657957-54740715	KIT, PBT, MASTC	Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene	164920	KIT	3815	ENSG00000157404,ENST00000288135;;;ENST00000288135	same 700bp segment as PDGFRA	Gastrointestinal stromal tumor, familial	606764	Autosomal dominant; Isolated cases	3	Kit
4q12	4:54657957-54740715	KIT, PBT, MASTC	Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene	164920	KIT	3815	ENSG00000157404,ENST00000288135;;;ENST00000288135	same 700bp segment as PDGFRA	Germ cell tumors, somatic	273300		3	Kit
4q12	4:54657957-54740715	KIT, PBT, MASTC	Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene	164920	KIT	3815	ENSG00000157404,ENST00000288135;;;ENST00000288135	same 700bp segment as PDGFRA	Leukemia, acute myeloid, somatic	601626		3	Kit
4q12	4:54657957-54740715	KIT, PBT, MASTC	Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene	164920	KIT	3815	ENSG00000157404,ENST00000288135;;;ENST00000288135	same 700bp segment as PDGFRA	Mastocytosis, cutaneous	154800	Autosomal dominant	3	Kit
4q12	4:54657957-54740715	KIT, PBT, MASTC	Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene	164920	KIT	3815	ENSG00000157404,ENST00000288135;;;ENST00000288135	same 700bp segment as PDGFRA	Mastocytosis, systemic, somatic	154800		3	Kit
4q12	4:54657957-54740715	KIT, PBT, MASTC	Hardy-Zuckerman 4 feline sarcoma (v-kit) oncogene	164920	KIT	3815	ENSG00000157404,ENST00000288135;;;ENST00000288135	same 700bp segment as PDGFRA	Piebaldism	172800	Autosomal dominant	3	Kit
4q13.2-q21.3	4:65500001-87100000	ETL3, FMTLE	Epilepsy, familial temporal lobe, 3	611630		100188848		max lod at D4S1517	Epilepsy, familial temporal lobe, 3	611630	Autosomal dominant	2	
4q25	4:106700001-113200000	ATFB5	Atrial fibrillation, familial, 5	611494		100188842		association with rs2200733 and rs10033464	{Atrial fibrillation, familial, 5}	611494		2	
4q25	4:107989889-108035171	HADHSC, SCHAD, HHF4	L-3-hydroxyacyl-CoA dehydrogenase, short chain	601609	HADH	3033	ENSG00000138796,ENST00000309522;;;ENST00000309522		3-hydroxyacyl-CoA dehydrogenase deficiency	231530	Autosomal recessive	3	Hadh
4q25	4:107989889-108035171	HADHSC, SCHAD, HHF4	L-3-hydroxyacyl-CoA dehydrogenase, short chain	601609	HADH	3033	ENSG00000138796,ENST00000309522;;;ENST00000309522		Hyperinsulinemic hypoglycemia, familial, 4	609975	Autosomal recessive	3	Hadh
4q26	4:119212601-119295518	USP53, KIAA1350, PFIC7	Ubiquitin-specific peptidase 53	617431	USP53	54532	ENSG00000145390,ENST00000692078;;;ENST00000692078		Cholestasis, progressive familial intrahepatic, 7, with or without hearing loss	619658	Autosomal recessive	3	Usp53
4q31	4:138500001-154600000	AAA2	Aortic aneurysm, familial abdominal 2	609782		100505390		max lod at D4S1644	Aortic aneurysm, familial abdominal 2	609782		2	
4q31.3	4:154583126-154590742	FGA	Fibrinogen, alpha polypeptide	134820	FGA	2243	ENSG00000171560,ENST00000403106;;;ENST00000403106		Afibrinogenemia, congenital	202400	Autosomal recessive	3	Fga
4q31.3	4:154583126-154590742	FGA	Fibrinogen, alpha polypeptide	134820	FGA	2243	ENSG00000171560,ENST00000403106;;;ENST00000403106		Amyloidosis, familial visceral	105200	Autosomal dominant	3	Fga
4q31.3	4:154583126-154590742	FGA	Fibrinogen, alpha polypeptide	134820	FGA	2243	ENSG00000171560,ENST00000403106;;;ENST00000403106		Dysfibrinogenemia, congenital	616004		3	Fga
4q31.3	4:154583126-154590742	FGA	Fibrinogen, alpha polypeptide	134820	FGA	2243	ENSG00000171560,ENST00000403106;;;ENST00000403106		Hypodysfibrinogenemia, congenital	616004		3	Fga
4q32.1	4:159103079-159360173	RAPGEF2, NRAPGEP, RAGEF, KIAA0313	Rap guanine nucleotide exchange factor 2	609530	RAPGEF2	9693	ENSG00000109756,ENST00000691494;;;ENST00000691494	mutation identified in 1 FAME7 patient	?Epilepsy, familial adult myoclonic, 7	618075	Autosomal dominant	3	Rapgef2
5p15.2	5:10353695-10440388	MARCH6, TEB4, DOA10, KIAA0597, FAME3	Membrane-associated RING-CH finger protein 6	613297	MARCHF6	10299	ENSG00000145495,ENST00000274140;;;ENST00000274140		Epilepsy, familial adult myoclonic, 3	613608	Autosomal dominant	3	Marchf6
5p13.1-p12	5:42423439-42721878	GHR, GHIP	Growth hormone receptor	600946	GHR	2690	ENSG00000112964,ENST00000230882;;;ENST00000230882		Growth hormone insensitivity, partial	604271	Autosomal dominant	3	Ghr
5p13.1-p12	5:42423439-42721878	GHR, GHIP	Growth hormone receptor	600946	GHR	2690	ENSG00000112964,ENST00000230882;;;ENST00000230882		Increased responsiveness to growth hormone	604271	Autosomal dominant	3	Ghr
5p13.1-p12	5:42423439-42721878	GHR, GHIP	Growth hormone receptor	600946	GHR	2690	ENSG00000112964,ENST00000230882;;;ENST00000230882		Laron dwarfism	262500	Autosomal recessive	3	Ghr
5p13.1-p12	5:42423439-42721878	GHR, GHIP	Growth hormone receptor	600946	GHR	2690	ENSG00000112964,ENST00000230882;;;ENST00000230882		{Hypercholesterolemia, familial, modifier of}	143890	Autosomal dominant; Autosomal recessive	3	Ghr
5q13-q14	5:67400001-93000000	AAT2, FAA2	Aortic aneurysm, familial thoracic 2	607087		252843			Aortic aneurysm, familial thoracic 2	607087		2	
5q14.1	5:80654652-80876815	MSH3, FAP4	mutS homolog 3	600887	MSH3	4437	ENSG00000113318,ENST00000265081;;;ENST00000265081	5' to DHFR	Endometrial carcinoma, somatic	608089		3	Msh3
5q14.1	5:80654652-80876815	MSH3, FAP4	mutS homolog 3	600887	MSH3	4437	ENSG00000113318,ENST00000265081;;;ENST00000265081	5' to DHFR	Familial adenomatous polyposis 4	617100	Autosomal recessive	3	Msh3
5q14.3	5:90558797-91164437	ADGRV1, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C	Adhesion G protein-coupled receptor V1	602851	ADGRV1	84059	ENSG00000164199,ENST00000405460;;;ENST00000405460	mutation identified in 1 FEB4 family	?Febrile seizures, familial, 4	604352	Autosomal dominant	3	Adgrv1
5q14.3	5:90558797-91164437	ADGRV1, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C	Adhesion G protein-coupled receptor V1	602851	ADGRV1	84059	ENSG00000164199,ENST00000405460;;;ENST00000405460	mutation identified in 1 FEB4 family	Usher syndrome, type 2C	605472	Autosomal recessive; Digenic dominant	3	Adgrv1
5q14.3	5:90558797-91164437	ADGRV1, GPR98, MASS1, VLGR1, KIAA0686, FEB4, USH2C	Adhesion G protein-coupled receptor V1	602851	ADGRV1	84059	ENSG00000164199,ENST00000405460;;;ENST00000405460	mutation identified in 1 FEB4 family	Usher syndrome, type 2C, GPR98/PDZD7 digenic	605472	Autosomal recessive; Digenic dominant	3	Adgrv1
5q23.1	5:122063195-122078259	LOX, AAT10	Lysyl oxidase	153455	LOX	4015	ENSG00000113083,ENST00000231004;;;ENST00000231004		Aortic aneurysm, familial thoracic 10	617168	Autosomal dominant	3	Lox
5q31-q33	5:131200001-160500000	EOS	Eosinophilia, familial	131400		7908			Eosinophilia, familial	131400	Autosomal dominant	2	
5q31.2	5:138179112-138187723	KIF20A, RAB6KIFL, RCM6	Kinesin family member 20A	605664	KIF20A	10112	ENSG00000112984,ENST00000394894;;;ENST00000394894	mutation identified in 1 RCM6 family	?Cardiomyopathy, familial restrictive, 6	619433	Autosomal recessive	3	Kif20a
5q34	5:162067465-162155539	GABRG2, DEE74, FEB8, ECA2, GEFSP3	Gamma-aminobutyric acid (GABA) A receptor, gamma-2	137164	GABRG2	2566	ENSG00000113327,ENST00000639213;;;ENST00000639213	in alpha/beta/gamma cluster	Developmental and epileptic encephalopathy 74	618396	Autosomal dominant	3	Gabrg2
5q34	5:162067465-162155539	GABRG2, DEE74, FEB8, ECA2, GEFSP3	Gamma-aminobutyric acid (GABA) A receptor, gamma-2	137164	GABRG2	2566	ENSG00000113327,ENST00000639213;;;ENST00000639213	in alpha/beta/gamma cluster	Febrile seizures, familial, 8	607681	Autosomal dominant	3	Gabrg2
5q34	5:162067465-162155539	GABRG2, DEE74, FEB8, ECA2, GEFSP3	Gamma-aminobutyric acid (GABA) A receptor, gamma-2	137164	GABRG2	2566	ENSG00000113327,ENST00000639213;;;ENST00000639213	in alpha/beta/gamma cluster	Generalized epilepsy with febrile seizures plus, type 3	607681	Autosomal dominant	3	Gabrg2
5q35.3	5:177511577-177516961	DDX41, ABS, MPLPF	DEAD-box helicase 41	608170	DDX41	51428	ENSG00000183258,ENST00000330503;;;ENST00000330503		{Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to}	616871	Autosomal dominant	3	Ddx41
6p24.2	6:10873223-10882041	GCM2, GCMB, HRPT4, FIH2	Glial cells missing transcription factor 2	603716	GCM2	9247	ENSG00000124827,ENST00000379491;;;ENST00000379491		Hyperparathyroidism 4	617343	Autosomal dominant	3	Gcm2
6p24.2	6:10873223-10882041	GCM2, GCMB, HRPT4, FIH2	Glial cells missing transcription factor 2	603716	GCM2	9247	ENSG00000124827,ENST00000379491;;;ENST00000379491		Hypoparathyroidism, familial isolated 2	618883	Autosomal dominant; Autosomal recessive	3	Gcm2
6p21.3	6:30500001-36600000	ATPLS	Antiphospholipid syndrome, familial	107320		100499532		possible linkage with HLA-DRB1*14	?Antiphospholipid syndrome, familial	107320	Autosomal dominant	2	
6p12.2	6:52236681-52245689	IL17F, ML1, CANDF6	Interleukin 17F	606496	IL17F	112744	ENSG00000112116,ENST00000336123;;;ENST00000336123	mutation identified in 1 CANDF6 family	?Candidiasis, familial, 6, autosomal dominant	613956		3	Il17f
6q	6:59800001-170805979	BPPV	Vertigo, benign paroxysmal positional	193007		619536		max lod at D6S1556	Vestibulopathy, familial	193007	Autosomal dominant	2	
6q14-q16	6:75200001-105000000	ATFB2	Atrial fibrillation, familial, 2	608988		619478		max lod between  D6S286 and D6S1021	Atrial fibrillation, familial, 2	608988		2	
6q21	6:111555381-111605878	TRAF3IP2, C6orf5, ACT1, CIKS, C6orf4, C6orf6, PSORS13, CANDF8	TRAF3-interacting protein 2	607043	TRAF3IP2	10758	ENSG00000056972,ENST00000368761;;;ENST00000368761	mutation identified in 1 family with CANDF8	?Candidiasis, familial, 8	615527	Autosomal recessive	3	Traf3ip2
6q21	6:111555381-111605878	TRAF3IP2, C6orf5, ACT1, CIKS, C6orf4, C6orf6, PSORS13, CANDF8	TRAF3-interacting protein 2	607043	TRAF3IP2	10758	ENSG00000056972,ENST00000368761;;;ENST00000368761	mutation identified in 1 family with CANDF8	{Psoriasis susceptibility 13}	614070		3	Traf3ip2
6q22-q24	6:114200001-148500000	FEB5	Febrile seizures, familial, 5	609255		619398		between D6S1572 and D6S472	Febrile seizures, familial, 5	609255	Autosomal dominant	2	
